source,interaction,target
ATM,1,HIPK2
ATM,1,PPP2R5D
CHUK_IKBKB_IKBKG,1,NFKB1
ATM,1,PPP2R5C
DACT2,-1,ACVR1B
CASP1,-1,GAPDH
CXCL16,1,CXCR6
CASP1,1,IL37
CASP1,1,CASP7
IL12B_IL23A,1,IL12RB1
GTF2I,1,CCND1
KLKB1,1,PRKAG1
CASP1,1,IL33
CCL3L3,1,CCR5
ASF1A,1,CHAF1B
TNFSF10,1,TNFRSF10C
MAP3K7,1,IKBKB
STK11,1,PRKAG1
ASF1B,1,CHAF1B
TNFRSF10A,1,TNFRSF10B
CHAF1A_CHAF1B_RBBP4,1,ASF1A
CHAF1A_CHAF1B_RBBP4,1,ASF1B
KAT8,1,H4C2
PARP1,-1,SUPT16H
TNFRSF10A,1,RIPK1
TNFRSF10B,1,RIPK1
NMI,1,STAT1
KRT18,-1,TRADD
MYC,-1,PMAIP1
ATM,1,ABL1
TNFRSF10A,1,TRADD
TNFRSF10B,1,TRADD
CDC37_HSP90AA1,1,AKT1
TRAF2,1,BIRC2
CDC37_HSP90AA1,1,CDK4
CDC37_HSP90AA1,1,RAF1
IRF1,1,ISG20
CDC37_HSP90AA1,1,IKBKG
CUL4A_DDB1_RBX1,-1,DDB2
CUL4A_DDB1_RBX1,1,H2AX
XPC,1,ATM
CUL4A_DDB1_RBX1,-1,CDT1
PRKDC,1,UPF1
STAT1,1,SOCS1
IL10,1,IL10RA
NLRP1,1,CASP5
CASP1_CASP5_NLRP1_PYCARD,1,CASP1
IL10RA_IL10RB,1,TYK2
CASP1,1,FGF2
IL10RA_IL10RB,1,JAK1
CASP1,-1,PYCARD
CARD18,-1,CASP1
IRF1,1,NOS2
ISG15,1,JAK1
CASP1_CASP5_NLRP1_PYCARD,1,CASP5
CARD16,-1,CASP1
CSNK2A1_CSNK2B,1,CFAP100
JAK1,1,IRS1
CASP1,1,IL1A
JAK1,1,IRS2
CASP1,1,SREBF2
INSR,1,IRS2
CSNK2A1_CSNK2B,-1,GYS1
ATF2,1,MMP2
E2F1,1,TP53INP1
TP53,1,FDXR
STAT1,1,CDKN1B
CASP1,-1,ENO1
TRAF2,1,MAP3K14
ABL1,1,STAT1
IFIH1,1,MAVS
DDB1_DDB2,1,XPC
TP53,1,TIGAR
CASP1,-1,TPI1
TP73,1,TP53INP1
NOD2,1,MAP3K14
PRKDC,1,CASP2
ATM,1,PRKDC
ABL1,1,TOP1
PIDD1,1,PRKDC
STAT1,-1,MYC
ANO9,1,STAT1
STAT1,1,IRF1
CASP1,-1,ALDOA
EIF2AK2,1,STAT1
TICAM1,1,RIPK1
TICAM1,1,TBK1
TICAM1,1,IKBKE
IFNG,1,IFNGR1
IFNAR1_IFNAR2,1,JAK1
RSF1,-1,NFKB1
IFNGR1_IFNGR2,1,JAK1
IRF3,1,IFNB1
IRF7,1,IFNB1
ATF2_JUN,1,IFNB1
CLSPN,1,DDB2
IFNGR1_IFNGR2,1,JAK2
IFNAR1_IFNAR2,1,TYK2
PPP2CA_PPP2R5A_PTPA,1,TP53
MDM2,-1,PPP2R2D
IRF3,1,IFIT1
MDM2,-1,PPP2R2C
IRF3,1,ISG15
IRF3,1,CCL5
PRKDC_XRCC6,1,NFKBIA
DAPK1,1,TPM1
CSNK2A1_CSNK2B,1,SMC3
MAP1B,1,DAPK1
ATM,1,SMC3
E2F1,1,DAPK2
EPO,1,DAPK2
